City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,noo,58.2756,26.5375,-3.98,87,75,5.14,EE,1675538355
335,lerwick,60.1545,-1.1494,7.0,72,100,10.74,GB,1675538287
336,kurumkan,54.3,110.3,-21.11,93,41,1.97,RU,1675538356
337,geraldton,-28.7667,114.6,22.23,88,75,3.6,AU,1675538357
338,sorata,-15.7667,-68.6333,7.74,95,100,3.42,BO,1675538357
339,walvis bay,-22.9575,14.5053,18.38,79,100,5.73,NA,1675538357
340,marsa matruh,31.3525,27.2453,14.15,64,13,5.61,EG,1675538358
341,mascote,-15.5631,-39.3025,29.73,56,57,3.24,BR,1675538358
342,fatehpur chaurasi,26.7833,80.2667,14.71,52,0,3.45,IN,1675538359
343,uren,57.4552,45.7852,-8.65,98,98,1.73,RU,1675538359
344,honningsvag,70.9821,25.9704,-3.14,68,50,3.6,NO,1675538360
345,rongcheng,30.634,117.8517,7.13,89,100,0.75,CN,1675538360
346,lingao,19.9103,109.6859,20.41,93,95,5.34,CN,1675538360
347,merauke,-8.4667,140.3333,24.76,92,100,2.7,ID,1675538361
348,lokosovo,61.1333,74.8167,-17.96,100,96,2.22,RU,1675538361
349,liverpool,53.4106,-2.9779,10.72,87,75,4.02,GB,1675538291
350,korla,41.7597,86.1469,-3.53,73,55,0.96,CN,1675538362
351,anshun,26.25,105.9333,6.03,93,100,1.93,CN,1675538362
352,trairi,-3.2778,-39.2689,28.97,66,55,5.74,BR,1675538363
353,hermiston,45.8404,-119.2895,14.01,67,100,2.57,US,1675538363
354,boende,-0.2167,20.8667,28.59,39,100,0.71,CD,1675538364
355,pamyat parizhskoy kommuny,56.1048,44.4952,-3.03,100,100,1.55,RU,1675538364
356,stettler,52.3168,-112.7186,0.86,69,62,4.63,CA,1675538365
357,alofi,-19.0595,-169.9187,25.94,83,75,2.57,NU,1675538365
358,kunming,25.0389,102.7183,9.96,76,0,5.0,CN,1675538365
359,erzin,36.9559,36.2,6.66,72,100,1.91,TR,1675538366
360,ixtapa,20.7,-105.2,25.57,69,20,4.12,MX,1675538366
361,barrie,44.4001,-79.6663,-7.46,82,100,6.17,CA,1675538340
362,gilgit,35.9221,74.3087,0.88,67,70,1.49,PK,1675538366
